Season,DefensiveTouchdowns
2025,0.00
2025,1.00
2025,0.00
2025,0.00
2025,1.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,1.00
2025,0.00
2025,0.00
2025,0.00
2025,1.00
2025,0.00
2025,1.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,1.00
2025,0.00
2025,0.00
2025,1.00
2025,0.00
2025,1.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,1.00
2025,0.00
2025,1.00
2025,0.00
2025,1.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,1.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.20
2025,0.20
2025,0.10
2025,0.20
2025,0.10
2025,0.10
2025,0.10
2025,0.10
2025,0.10
2025,0.10
2025,0.10
2025,0.10
2025,0.10
2025,0.10
2025,0.10
2025,0.20
2025,0.20
2025,0.20
2025,0.10
2025,0.10
2025,0.20
2025,0.10
2025,0.10
2025,0.10
2025,0.20
2025,0.20
2025,0.20
2025,0.10
2025,0.10
2025,0.20
2025,0.10
2025,0.20
2025,0.20
2025,0.10
2025,0.20
2025,0.10
2025,0.10
2025,0.10
2025,0.20
2025,0.10
2025,0.10
2025,0.20
2025,0.10
2025,0.10
2025,0.20
2025,0.10
2025,0.20
2025,0.20
2025,0.20
2025,0.10
2025,0.10
2025,0.10
2025,0.10
2025,0.10
2025,0.20
2025,0.10
2025,0.10
2025,0.10
2025,0.10
2025,0.20
2025,0.20
2025,0.10
2025,0.20
2025,0.10
2025,0.20
2025,0.10
2025,0.10
2025,0.10
2025,0.10
2025,0.20
2025,0.20
2025,0.10
2025,0.10
2025,0.20
2025,0.10
2025,0.20
2025,0.10
2025,0.20
2025,0.20
2025,0.10
2025,0.10
2025,0.10
2025,0.10
2025,0.10
2025,0.10
2025,0.20
2025,0.20
