Number,FirstName,LastName,Status,Height,InjuryStatus
,Matt,Ryan,Inactive,6'4",
,Robbie,Gould,Inactive,6'0",
,Mason,Crosby,Inactive,6'1",
,Chad,Henne,Inactive,6'3",
,Matt,Prater,Inactive,5'10",
,Marcedes,Lewis,Inactive,6'6",
,Andy,Lee,Inactive,6'1",
,Duane,Brown,Inactive,6'4",
,Muhsin,Muhammad II,Inactive,6'2",
,DeSean,Jackson,Inactive,5'10",
,Tom,Brady,Inactive,6'4",
,Matthew,Slater,Inactive,6'0",
,Philip,Rivers,Inactive,6'5",
,Brian,Hoyer,Inactive,6'2",
,Kevin,Huber,Inactive,6'1",
,Ryan,Succop,Inactive,6'2",
,Thomas,Morstead,Inactive,6'4",
,Mike,Brown,Inactive,5'10",
,Chase,Daniel,Inactive,6'0",
,Brett,Kern,Inactive,6'2",
,Graham,Gano,Inactive,6'2",
,Devin,McCourty,Inactive,5'10",
,Carlos,Dunlap,Inactive,6'6",
,Colt,McCoy,Inactive,6'1",
,Jerry,Hughes,Inactive,6'2",
,Tyson,Alualu,Inactive,6'3",
,Jared,Veldheer,Inactive,6'8",
,Linval,Joseph,Inactive,6'4",
,Brandon,Graham,Inactive,6'2",
,Ndamukong,Suh,Inactive,6'4",
,Corey,Peters,Inactive,6'3",
,Jimmy,Graham,Inactive,6'7",
,Rodger,Saffold,Inactive,6'4",
,Andre,Roberts,Inactive,5'11",
,Jason,Pierre-Paul,Inactive,6'5",
,Clark,Harris,Inactive,6'5",
,Al,Woods,Inactive,6'4",
,Jason,Kelce,Inactive,6'3",
,Marcus,Cannon,Inactive,6'6",
,Josh,Bynes,Inactive,6'1",
,A.J.,Green,Inactive,6'4",
,J.J.,Watt,Inactive,6'5",
,Blaine,Gabbert,Inactive,6'5",
,Chris,Harris Jr.,Inactive,5'10",
,Von,Miller,Inactive,6'3",
,Kyle,Rudolph,Inactive,6'6",
,Julio,Jones,Inactive,6'3",
,Mark,Ingram II,Inactive,5'9",
94,Cameron,Jordan,Active,6'4",
,Jake,McQuaide,Inactive,6'2",
,Robert,Quinn,Inactive,6'4",
,Patrick,Peterson,Inactive,6'1",
,Fletcher,Cox,Inactive,6'4",
,Vinny,Curry,Inactive,6'3",
,Nick,Foles,Inactive,6'6",
,Dennis,Kelly,Inactive,6'8",
,Brandon,Bolden,Inactive,5'11",
,Chandler,Jones,Inactive,6'5",
