Number,FantasyPosition,PlayerSeasonID,AuctionValue,AuctionValuePPR
93,DL,991335998,,
93,DL,991313050,,
68,OL,991313051,,
68,OL,991335999,,
46,LS,991336000,,
46,LS,991313052,,
39,P,991358289,,
7,QB,991336001,,
7,QB,991313053,,
17,WR,991313054,,
17,WR,991336002,,
3,DB,991336003,,
3,DB,991313055,,
94,DL,991313056,,
94,DL,991336004,,
6,RB,991336005,,
6,RB,991313057,,
39,P,991381753,,
49,TE,991377827,,
76,OL,991336006,,
98,DL,991313058,,
10,LB,991313059,,
10,LB,991336007,,
92,DL,991354866,,
81,WR,991338787,,
63,OL,991336008,,
63,OL,991313060,,
72,OL,991313061,,
72,OL,991336009,,
1,QB,991336010,,
1,QB,991313062,,
73,OL,991313063,,
73,OL,991336011,,
2,LB,991336012,,
2,LB,991313064,,
91,DL,991313065,,
91,DL,991336013,,
4,WR,991336014,,
4,WR,991313066,,
80,WR,991398517,,
34,DB,991336015,,
34,DB,991313067,,
86,WR,991313068,,
47,TE,991313069,,
45,TE,991343494,,
20,RB,991313070,,
43,LB,991313071,,
27,LB,991313072,,
27,LB,991336016,,
82,WR,991377828,,
82,WR,991313073,,
60,OL,991313074,,
12,P,991313075,,
12,P,991336017,,
22,RB,991348841,,
22,RB,991313076,,
43,RB,991381754,,
80,WR,991343495,,
80,WR,991313077,,
25,LB,991313078,,
25,LB,991336018,,
5,LB,991336019,,
5,LB,991313079,,
64,OL,991313080,,
30,DB,991313081,,
30,DB,991347727,,
71,OL,991313082,,
19,QB,991358290,,
85,TE,991336020,,
85,TE,991313083,,
62,OL,991328328,,
90,DL,991354868,,
47,LB,991381755,,
79,OL,991307438,,
32,DB,991313084,,
32,DB,991336021,,
37,DB,991313085,,
51,LB,991313086,,
35,RB,991313087,,
20,RB,991336022,,
49,LB,991313088,,
53,LB,991313089,,
9,LB,991377829,,
21,DB,991336023,,
21,DB,991313090,,
70,OL,991313091,,
70,OL,991336024,,
26,DB,991313092,,
66,OL,991313093,,
15,QB,991313094,,
