Number,Name,AwayTeamScore,HomeTeamScore
1,1,14,0
2,2,7,7
3,3,6,0
4,4,7,0
1,1,6,14
2,2,3,7
3,3,7,0
4,4,0,3
4,4,10,7
3,3,3,3
2,2,0,17
1,1,14,7
1,1,0,7
2,2,3,9
3,3,7,0
4,4,13,7
1,1,0,3
2,2,7,7
3,3,10,0
4,4,0,0
3,3,7,0
4,4,9,3
1,1,0,7
2,2,14,0
1,1,0,17
4,4,7,14
2,2,3,10
3,3,8,7
1,1,3,0
2,2,13,10
3,3,8,7
4,4,10,8
1,1,7,3
2,2,0,10
3,3,3,0
4,4,0,7
1,1,7,3
2,2,7,6
3,3,7,6
4,4,10,10
4,4,15,14
3,3,0,3
2,2,6,0
1,1,0,14
1,1,0,3
2,2,7,10
3,3,0,0
4,4,0,16
3,3,3,0
1,1,7,0
2,2,7,17
4,4,0,3
2,2,10,3
1,1,7,0
3,3,7,0
4,4,6,7
3,3,3,0
2,2,20,0
1,1,0,9
4,4,7,0
1,1,0,0
2,2,14,10
3,3,0,7
4,4,10,7
1,1,0,0
2,2,3,9
3,3,7,8
4,4,3,10
1,1,6,0
2,2,7,3
3,3,7,17
4,4,3,0
1,1,0,7
2,2,7,16
3,3,3,7
4,4,6,3
1,1,7,0
2,2,0,14
3,3,7,3
4,4,10,0
4,4,0,7
3,3,0,3
1,1,0,7
2,2,3,3
2,2,3,13
1,1,0,0
3,3,7,3
4,4,13,3
4,4,6,6
3,3,0,3
2,2,7,3
1,1,7,0
1,1,6,0
2,2,6,13
3,3,7,0
4,4,3,0
1,1,3,3
2,2,7,10
3,3,3,0
4,4,9,6
1,1,5,7
2,2,13,0
3,3,3,3
4,4,10,3
3,3,6,10
4,4,7,6
2,2,6,0
1,1,3,7
2,2,3,0
1,1,3,7
3,3,0,17
4,4,6,7
4,4,3,0
3,3,0,7
2,2,0,0
1,1,14,7
1,1,7,14
2,2,0,10
3,3,0,3
4,4,0,0
1,1,7,0
2,2,10,3
3,3,0,6
4,4,0,8
1,1,0,7
2,2,0,21
3,3,0,3
4,4,0,7
1,1,7,14
2,2,21,0
3,3,0,3
4,4,3,0
1,1,0,3
2,2,10,7
3,3,3,0
4,4,6,0
3,3,0,21
4,4,0,7
2,2,10,0
1,1,0,14
1,1,3,0
2,2,3,3
3,3,10,0
4,4,3,14
4,4,3,7
3,3,0,7
2,2,10,3
1,1,0,14
1,1,3,0
2,2,0,14
3,3,7,3
4,4,3,6
3,3,0,7
4,4,19,0
2,2,10,10
1,1,0,10
1,1,7,0
2,2,20,3
3,3,0,0
4,4,3,0
2,2,14,7
1,1,10,0
3,3,14,0
4,4,3,7
2,2,7,9
3,3,3,0
1,1,0,7
4,4,7,3
1,1,3,7
3,3,0,0
2,2,13,0
4,4,10,0
4,4,6,10
3,3,6,0
2,2,13,3
1,1,3,6
1,1,0,10
2,2,0,10
3,3,0,0
4,4,7,0
1,1,0,0
3,3,0,6
4,4,0,0
2,2,6,8
2,2,10,10
4,4,0,6
3,3,6,3
1,1,7,0
2,2,13,6
1,1,0,0
3,3,0,10
4,4,10,14
3,3,0,7
4,4,0,3
2,2,3,3
1,1,7,7
1,1,7,7
2,2,13,14
3,3,0,3
4,4,0,0
1,1,0,7
2,2,6,6
3,3,6,7
