Season,Stadium,ThirdDownPercentage,TeamID
2025,Tom Benson Hall of Fame Stadium,30.8,29
2025,Tom Benson Hall of Fame Stadium,9.1,11
2025,M&T Bank Stadium,31.6,14
2025,M&T Bank Stadium,35.7,3
2025,Lincoln Financial Field,25.0,7
2025,Lincoln Financial Field,20.0,26
2025,Lumen Field,35.7,25
2025,Lumen Field,53.3,30
2025,Mercedes-Benz Stadium,33.3,11
2025,Mercedes-Benz Stadium,14.3,2
2025,Bank of America Stadium,40.0,8
2025,Bank of America Stadium,25.0,5
2025,Gillette Stadium,38.5,35
2025,Gillette Stadium,50.0,21
2025,Highmark Stadium,47.4,23
2025,Highmark Stadium,11.1,4
2025,U.S. Bank Stadium,42.9,13
2025,U.S. Bank Stadium,38.5,20
2025,SoFi Stadium,36.4,9
2025,SoFi Stadium,45.5,32
2025,EverBank Stadium,61.5,28
2025,EverBank Stadium,30.0,15
2025,Raymond James Stadium,38.5,34
2025,Raymond James Stadium,43.8,33
2025,Lambeau Field,53.3,24
2025,Lambeau Field,10.0,12
2025,State Farm Stadium,38.5,16
2025,State Farm Stadium,44.4,1
2025,Levi's Stadium,37.5,10
2025,Levi's Stadium,8.3,31
2025,Soldier Field,43.8,19
2025,Soldier Field,42.9,6
2025,SoFi Stadium,23.1,22
2025,SoFi Stadium,42.9,29
2025,Mercedes-Benz Stadium,38.5,34
2025,Mercedes-Benz Stadium,33.3,2
2025,Lumen Field,44.4,16
2025,Lumen Field,58.3,30
2025,NRG Stadium,10.0,5
2025,NRG Stadium,35.7,13
2025,Lucas Oil Stadium,50.0,12
2025,Lucas Oil Stadium,27.3,14
2025,Lincoln Financial Field,56.2,8
2025,Lincoln Financial Field,33.3,26
2025,Ford Field,53.8,19
2025,Ford Field,8.3,11
2025,U.S. Bank Stadium,60.0,21
2025,U.S. Bank Stadium,33.3,20
2025,Allegiant Stadium,27.3,31
2025,Allegiant Stadium,56.2,25
2025,Acrisure Stadium,33.3,33
2025,Acrisure Stadium,16.7,28
2025,SoFi Stadium,38.5,29
2025,SoFi Stadium,38.5,32
2025,MetLife Stadium,47.1,24
2025,MetLife Stadium,55.6,23
2025,AT&T Stadium,47.1,3
2025,AT&T Stadium,18.2,9
2025,Empower Field at Mile High,15.4,1
2025,Empower Field at Mile High,45.5,10
2025,Caesars Superdome,50.0,15
2025,Caesars Superdome,30.8,22
2025,Soldier Field,0,4
2025,Soldier Field,56.2,6
2025,Northwest Stadium,40.0,7
2025,Northwest Stadium,40.0,35
2025,Bank of America Stadium,44.4,28
2025,Bank of America Stadium,56.2,5
2025,MetLife Stadium,35.7,21
2025,MetLife Stadium,57.1,23
2025,MetLife Stadium,37.5,26
2025,MetLife Stadium,25.0,24
2025,AT&T Stadium,50.0,2
2025,AT&T Stadium,36.4,9
2025,Nissan Stadium,40.0,20
2025,Nissan Stadium,33.3,34
2025,Arrowhead Stadium,50.0,6
2025,Arrowhead Stadium,55.6,16
2025,Northwest Stadium,62.5,3
2025,Northwest Stadium,50.0,35
2025,Paycor Stadium,53.3,14
2025,Paycor Stadium,18.2,7
2025,Ford Field,75.0,13
2025,Ford Field,14.3,11
2025,Huntington Bank Field,8.3,32
2025,Huntington Bank Field,38.5,8
2025,Caesars Superdome,43.8,10
2025,Caesars Superdome,38.5,22
2025,Lambeau Field,15.4,30
2025,Lambeau Field,33.3,12
2025,Hard Rock Stadium,35.7,15
2025,Hard Rock Stadium,33.3,19
2025,Raymond James Stadium,33.3,4
2025,Raymond James Stadium,61.5,33
2025,Levi's Stadium,23.1,29
2025,Levi's Stadium,23.1,31
2025,State Farm Stadium,28.6,25
2025,State Farm Stadium,28.6,1
2025,Lincoln Financial Field,63.6,9
2025,Lincoln Financial Field,61.5,26
2025,Arena Corinthians,35.7,16
2025,Arena Corinthians,53.8,29
2025,Huntington Bank Field,50.0,7
2025,Huntington Bank Field,56.2,8
2025,Lucas Oil Stadium,50.0,19
2025,Lucas Oil Stadium,46.7,14
2025,Caesars Superdome,46.2,1
2025,Caesars Superdome,35.7,22
2025,Gillette Stadium,38.5,25
2025,Gillette Stadium,28.6,21
2025,EverBank Stadium,53.3,5
2025,EverBank Stadium,41.7,15
2025,Northwest Stadium,25.0,23
2025,Northwest Stadium,36.4,35
2025,MetLife Stadium,40.0,28
2025,Mercedes-Benz Stadium,50.0,33
2025,MetLife Stadium,50.0,24
2025,Mercedes-Benz Stadium,40.0,2
2025,Lumen Field,50.0,31
2025,Lumen Field,30.0,30
2025,Empower Field at Mile High,14.3,34
2025,Empower Field at Mile High,40.0,10
2025,SoFi Stadium,22.2,13
2025,SoFi Stadium,53.8,32
2025,Lambeau Field,33.3,11
2025,Lambeau Field,40.0,12
2025,Highmark Stadium,54.5,3
2025,Highmark Stadium,46.7,4
2025,Soldier Field,25.0,20
2025,Soldier Field,25.0,6
2025,Lambeau Field,31.2,35
2025,Lambeau Field,41.7,12
2025,Ford Field,53.8,6
2025,Ford Field,40.0,11
2025,Paycor Stadium,46.2,15
2025,Paycor Stadium,42.9,7
2025,Hard Rock Stadium,58.3,21
2025,Hard Rock Stadium,40.0,19
2025,AT&T Stadium,42.9,23
2025,AT&T Stadium,42.9,9
2025,Acrisure Stadium,42.9,30
2025,Acrisure Stadium,33.3,28
2025,Caesars Superdome,53.3,31
2025,Caesars Superdome,36.4,22
2025,MetLife Stadium,35.7,4
2025,Nissan Stadium,41.7,32
2025,MetLife Stadium,0,24
2025,Nissan Stadium,40.0,34
2025,M&T Bank Stadium,38.9,8
